[002] U     14931.086739:      39409                0 
[003] U     14931.088129:      48438                0 
[000] U     14931.095667:      62695                0 
[002] U     14931.095882:      36119                0 
[003] U     14931.100357:      43958                0 
[000] K     14931.103378:      63216                0 
[002] U     14931.105555:      37557                0 
[001] K     14931.108772:      84785                0 
[000] K     14931.109011:      64361                0 
[003] U     14931.112286:      40393                0 
[002] U     14931.113321:      36625                0 
[000] K     14931.117776:      67796                0 
[002] U     14931.119411:      36625                0 
[003] U     14931.120302:      39097                0 
[001] K     14931.124870:      90040                0 
[000] U     14931.125737:      83553                0 
[003] U     14931.127496:      37223                0 
[002] U     14931.129001:      37884                0 
[000] U     14931.140594:      84062                0 
[002] U     14931.142382:      40848                0 
[003] U     14931.145266:      41781                0 
[001] U     14931.151863:      90387                0 
[000] K     14931.154233:      77589                0 
[003] K     14931.155925:      37488                0 
[002] K     14931.161867:      71477                0 
[003] U     14931.162521:      37488                0 
[001] U     14931.165285:      63262                0 
[000] U     14931.166066:      69818                0 
[001] U     14931.173113:      55412                0 
[000] U     14931.175680:      61974                0 
[003] U     14931.177044:      56249                0 
[001] U     14931.180442:      55412                0 
[002] K     14931.183369:      70677                0 
[000] K     14931.188058:      62555                0 
[001] U     14931.189797:      74982                0 
[003] U     14931.191690:      52277                0 
[000] U     14931.202474:      58966                0 
[001] U     14931.202841:      78270                0 
[002] K     14931.203636:      51064                0 
[003] U     14931.205033:      46145                0 
[000] K     14931.208685:      54857                0 
[002] U     14931.215330:      40493                0 
[003] U     14931.216344:      42488                0 
[000] K     14931.217047:      51209                0 
[001] K     14931.217166:     114499                0 
[002] U     14931.223645:      50847                0 
[000] U     14931.223884:      60411                0 
[003] U     14931.227081:      39992                0 
[002] U     14931.235270:      53696                0 
[001] U     14931.235521:     136310                0 
[003] U     14931.237183:      39002                0 
[000] K     14931.237918:      69043                0 
[003] U     14931.247389:      38452                0 
[002] U     14931.247619:      71075                0 
[000] U     14931.254075:      64025                0 
[001] U     14931.254300:     112317                0 
[003] U     14931.258174:      38425                0 
[002] U     14931.261744:      71075                0 
[000] K     14931.263713:      51887                0 
[001] U     14931.267561:      84946                0 
[003] U     14931.268549:      37254                0 
[001] U     14931.275751:      74168                0 
[003] U     14931.278755:      36595                0 
[002] K     14931.280513:      95237                0 
[000] K     14931.282966:      54600                0 
[003] U     14931.288905:      36689                0 
[001] U     14931.292816:      76008                0 
[000] K     14931.294142:      43651                0 
[002] U     14931.295637:      88672                0 
[003] U     14931.298749:      36125                0 
[001] U     14931.300806:      70298                0 
[000] U     14931.307472:      48609                0 
[003] U     14931.308986:      36149                0 
[002] U     14931.315782:      99436                0 
[000] K     14931.316579:      49865                0 
[003] U     14931.318137:      36059                0 
[001] K     14931.320934:      74321                0 
[000] U     14931.325199:      49865                0 
[003] U     14931.328175:      36064                0 
[001] K     14931.328550:      75696                0 
[002] K     14931.333236:     101269                0 
[003] U     14931.337858:      36332                0 
[001] U     14931.337975:      73112                0 
[003] U     14931.347384:      36447                0 
[000] U     14931.347395:      78898                0 
[001] U     14931.349398:      76082                0 
[002] U     14931.354226:     100225                0 
[000] K     14931.356154:      62057                0 
[003] U     14931.357001:      36674                0 
[001] U     14931.359454:      75427                0 
[000] K     14931.364627:      56253                0 
[002] U     14931.365736:      72988                0 
[003] U     14931.366376:      37141                0 
[001] K     14931.374435:      74912                0 
[000] U     14931.375178:      66847                0 
[003] U     14931.376772:      37745                0 
[002] U     14931.381586:      66585                0 
[000] U     14931.385178:      63129                0 
[003] U     14931.386795:      37356                0 
[001] U     14931.392440:      64383                0 
[000] U     14931.395124:      61510                0 
[002] U     14931.395419:      57111                0 
[003] U     14931.397011:      37082                0 
[001] K     14931.403023:      55246                0 
[000] U     14931.405498:      61631                0 
[002] U     14931.406682:      54186                0 
[003] U     14931.406803:      36921                0 
[001] U     14931.412835:      48778                0 
[000] K     14931.415289:      57743                0 
[003] U     14931.416760:      37169                0 
[001] U     14931.421735:      52939                0 
[000] K     14931.423065:      57743                0 
[002] K     14931.423814:      64296                0 
[003] U     14931.426651:      36197                0 
[001] U     14931.432288:      53057                0 
[002] K     14931.433219:      64296                0 
[000] K     14931.435060:      82394                0 
[003] U     14931.436487:      36516                0 
[001] K     14931.440647:      53481                0 
[002] K     14931.444794:      80285                0 
[003] U     14931.446484:      36241                0 
[001] K     14931.448106:      52653                0 
[000] U     14931.454989:      93689                0 
[003] U     14931.455345:      36034                0 
[002] K     14931.456370:      79028                0 
[001] U     14931.456869:      50421                0 
[001] K     14931.463235:      57750                0 
[000] K     14931.465013:      78757                0 
[003] U     14931.465703:      37841                0 
[002] U     14931.466002:      71502                0 
[002] U     14931.475917:      68854                0 
[000] K     14931.475988:      85860                0 
[003] U     14931.476157:      37461                0 
[001] U     14931.476260:      65503                0 
[003] U     14931.486310:      36768                0 
[001] U     14931.486857:      58391                0 
[002] U     14931.488441:      72823                0 
[000] U     14931.493031:      79172                0 
[003] U     14931.497016:      36493                0 
[002] K     14931.498793:      66240                0 
[000] U     14931.502889:      70643                0 
[001] U     14931.505352:      57527                0 
[003] U     14931.506776:      35877                0 
[000] U     14931.509017:      68827                0 
